2022-03-29, 13:13:12, Found, person, 140, 1592,  822
2022-03-29, 13:13:12, Eingang, 1584103, 140, No face visible, NA, -1
2022-03-29, 13:13:13, Eingang, 1584126, 140, No face visible, NA, -1
2022-03-29, 13:13:14, Eingang, 1584146, 140, No face visible, NA, -1
2022-03-29, 13:13:15, Eingang, 1584166, 140, No face visible, NA, -1
2022-03-29, 13:13:17, Eingang, 1584195, 140, No face visible, NA, -1
2022-03-29, 13:13:18, Eingang, 1584215, 140, No face visible, NA, -1
2022-03-29, 13:13:19, Eingang, 1584235, 140, No face visible, NA, -1
2022-03-29, 13:13:19, Eingang, 1584236, 140, No face visible, NA, -1
2022-03-29, 13:13:21, Eingang, 1584256, 140, No face visible, NA, -1
2022-03-29, 13:13:21, Eingang, 1584276, 140, No face visible, NA, -1
2022-03-29, 13:13:23, Eingang, 1584296, 140, No face visible, NA, -1
2022-03-29, 13:13:24, Eingang, 1584316, 140, No face visible, NA, -1
2022-03-29, 13:13:25, Eingang, 1584336, 140, No face visible, NA, -1
2022-03-29, 13:13:26, Eingang, 1584356, 140, No face visible, NA, -1
2022-03-29, 13:13:26, Eingang, 1584357, 140, No face visible, NA, -1
2022-03-29, 13:13:27, Eingang, 1584377, 140, No face visible, NA, -1
2022-03-29, 13:13:28, Eingang, 1584403, 140, No face visible, NA, -1
2022-03-29, 13:13:29, Eingang, 1584423, 140, No face visible, NA, -1
2022-03-29, 13:13:30, Eingang, 1584443, 140, No face visible, NA, -1
2022-03-29, 13:13:31, Eingang, 1584463, 140, No face visible, NA, -1
2022-03-29, 13:13:32, Eingang, 1584483, 140, No face visible, NA, -1
2022-03-29, 13:13:32, Eingang, 1584484, 140, No face visible, NA, -1
2022-03-29, 13:13:33, Eingang, 1584504, 140, No face visible, NA, -1
2022-03-29, 13:13:34, Eingang, 1584524, 140, No face visible, NA, -1
2022-03-29, 13:13:36, Eingang, 1584544, 140, No face visible, NA, -1
2022-03-29, 13:13:36, Eingang, 1584564, 140, No face visible, NA, -1
2022-03-29, 13:13:37, Eingang, 1584584, 140, No face visible, NA, -1
2022-03-29, 13:13:38, Eingang, 1584604, 140, No face visible, NA, -1
2022-03-29, 13:13:38, Eingang, 1584605, 140, No face visible, NA, -1
2022-03-29, 13:13:38, Eingang, 1584625, 140, No face visible, NA, -1
2022-03-29, 13:13:39, Eingang, 1584645, 140, No face visible, NA, -1
2022-03-29, 13:13:39, Eingang, 1584665, 140, No face visible, NA, -1
2022-03-29, 13:13:39, Eingang, 1584685, 140, No face visible, NA, -1
2022-03-29, 13:13:40, Eingang, 1584705, 140, No face visible, NA, -1
2022-03-29, 13:13:41, Eingang, 1584725, 140, No face visible, NA, -1
2022-03-29, 13:13:41, Eingang, 1584726, 140, No face visible, NA, -1
2022-03-29, 13:13:42, Eingang, 1584746, 140, No face visible, NA, -1
